content,clean_content,sentiment
"Ada beberapa game yang ada hadiah gopay coins, tapi pas dapat hadiah nya ada yang malah error dan gabisa klik klaim lagi dan ada yang cuma muncul notif aja tapi gada masuk di riwayat transaksi. Sebagian besar gopay coins yang didapat sebagai hadiah dari game yg dimainkan kaya ga perna masuk di riwayat transaksi sama sekali, yang masuk di situ cuma hadiah dari A+ plus sama cashback aja😅",beberapa game hadiah gopay coins pas hadiah nya malah error gabisa klik klaim dan ada cuma muncul notif aja gada masuk riwayat transaksi sebagian besar gopay coins didapat hadiah game yang dimainkan kaya tidak perna masuk riwayat transaksi sama sekali yang masuk situ cuma hadiah a plus sama cashback aja,positive
saya sangat puas dengan Gopay,sangat puas gopay,positive
josjis,josjis,positive
sayang sekali pinjam belom pernah d acc,sayang sekali pinjam belom pernah d acc,negative
ok,,positive
mantap,mantap,positive
Trimaksih banyak untuk Gopay yang selalu memberikan pelayanannya yang terbaik..🙏,trimaksih banyak gopay selalu memberikan pelayanannya terbaik,positive
sangat mudah untuk di gunakan,sangat mudah di gunakan,positive
sangat josjis and kriukk,sangat josjis and kriukk,positive
ok,,positive
aplikasi GK jelas uang hilang GK bisa kembali y9lol,aplikasi gk jelas uang hilang gk kembali y lol,negative
murah.... 🤭,murah,positive
"seruuu bgt, bcz ada game nyaa",seruuu banget bcz game nyaa,positive
kasih RP200.000 dong,kasih rp dong,positive
god payment,god payment,positive
"transfer pake gopay k rekening bank,saldo ketarik tapi ga sampai ke rekeng bank nya udh brapa x TF pake gopay kaya gini terus kacau",transfer pake gopay k rekening bank saldo ketarik tidak ke rekeng bank nya brapa x tf pake gopay kaya gini terus kacau,negative
lumayan penguna baru dapet diskon beli data cuma 1rp,lumayan penguna baru dapet diskon beli data cuma rp,positive
gg banyak even nya,gg banyak even nya,positive
ksh saya limit pinjaman dikit,ksh limit pinjaman dikit,positive
mantap banget,mantap banget,positive
keren,keren,positive
aplikasi bagus sangat simpel tapi lengkap,aplikasi bagus sangat simpel lengkap,positive
gopay memang mantap,gopay memang mantap,positive
ok,,positive
bagus sekali,bagus sekali,positive
"aman terkendali banyak bonus & gratis gampang & mudah,cuma hanya lemott aja",aman terkendali banyak bonus gratis gampang mudah cuma lemott aja,positive
mantap,mantap,positive
"oke, mantap, sangat mudah",oke mantap sangat mudah,positive
hebat,hebat,positive
sangat membantu,sangat membantu,positive
mantap bagus dan lancar transfernya,mantap bagus lancar transfernya,positive
👍👍👍,,positive
"oke mantap,biarpun sedikit tp bisa nyampe",oke mantap biarpun sedikit tp nyampe,positive
ok,,positive
Susah dapetin pinjaman,susah dapetin pinjaman,positive
pasti ada jalan,ada jalan,positive
"ngasih voucher tp suka bug ga bsa dipake, cashback jg ga masuk, udh kirim laporan. katanya 1x24 jam tp sampe sekarang ga ada kabar",ngasih voucher tp suka bug tidak bsa dipake cashback tidak masuk kirim laporan katanya x jam tp sampe sekarang tidak kabar,negative
sangat mendukung dalam bertransaksi,sangat mendukung bertransaksi,positive
kdng harga ny mahal pol,kdng harga ny mahal pol,negative
sangatt mmbntu,sangatt mmbntu,positive
mantap,mantap,positive
senang,senang,positive
bagus bangettt,bagus bangettt,positive
ok,,positive
bagus bngettttt🥰🥰🥰🤩,bagus bngettttt,positive
bagus woy,bagus woy,positive
semoga cepat di bukai gopay layternya.....,semoga cepat bukai gopay layternya,positive
sangat baik,sangat baik,positive
kasih cicilan dana,kasih cicilan dana,positive
memudahkan urusan,memudahkan urusan,positive
mantap bisa dapet yang di apk ini,mantap dapet di apk,positive
bgus,bgus,positive
mantappp dan nyaman,mantappp nyaman,positive
is the best,is the best,positive
am@n dan cepat,am n cepat,positive
mantap,mantap,positive
bagus,bagus,positive
baik,baik,positive
josss jissss...,josss jissss,positive
"gk suka bgt. terornya sampai sosmed, gak rekomendasi bgt apk nya",gk suka banget terornya sosmed tidak rekomendasi banget apk nya,negative
